code_uic,name,fret,voyageurs,code_ligne,rg_troncon,pk,ville,departement,num_departement,y_geo,x_geo
87131961,Brion-Montréal-la-Cluse,N,O,884000,1,035+618,Brion,Ain,01,5.558456483655577,46.175692902381236
87723528,Miribel,O,O,890000,1,016+616,Miribel,Ain,01,4.953756089762523,45.82181668995889
87723536,St-Maurice-de-Beynost,N,O,890000,1,018+501,Saint-Maurice-De-Beynost,Ain,01,4.976803928916588,45.827259754287724
87723544,Beynost,N,O,890000,1,020+966,Beynost,Ain,01,5.006804792443363,45.8338425231017
87723569,Montluel,O,O,890000,1,025+195,Montluel,Ain,01,5.058616223665426,45.84807684968764
87723577,La Valbonne,O,O,890000,1,030+464,Béligneux,Ain,01,5.124313081373071,45.84898731573564
87723585,Meximieux-Pérouges,O,O,890000,1,038+393,Meximieux,Ain,01,5.193552383040875,45.90168310952925
87723718,Les Échets,N,O,886000,1,020+726,Miribel,Ain,01,4.910745269670009,45.87449953647197
87723726,Mionnay,N,O,886000,1,023+441,Mionnay,Ain,01,4.91976626334603,45.89672880466212
87723734,St-André-de-Corcy,O,O,886000,1,027+442,Saint-André-De-Corcy,Ain,01,4.948707636273644,45.925981717567566
87723742,St-Marcel-en-Dombes,N,O,886000,1,030+998,Saint-Marcel,Ain,01,4.977986862920747,45.95061360872407
87723759,Villars-les-Dombes,O,O,886000,1,038+142,Villars-Les-Dombes,Ain,01,5.028308326099552,46.00424712787144
87723767,Marlieux-Châtillon,N,O,886000,1,045+760,Marlieux,Ain,01,5.073418433535314,46.063977896289906
87723783,St-Paul-de-Varax,N,O,886000,1,051+674,Saint-Paul-De-Varax,Ain,01,5.128115701915889,46.1001189819199
87723791,Servas-Lent,N,O,886000,1,056+344,Servas,Ain,01,5.168057440790851,46.13072986388702
87725804,Pont-de-Veyle,N,O,883000,1,007+780,Crottet,Ain,01,4.890963569882367,46.26888112521243
87725820,Vonnas,N,O,883000,1,016+950,Vonnas,Ain,01,4.991896805339235,46.227242116261685
87725838,Mézériat,N,O,883000,1,021+476,Mézériat,Ain,01,5.046778286049959,46.234982852558495
87725846,Polliat,N,O,883000,1,027+551,Polliat,Ain,01,5.124030240101035,46.24452734318952
87741074,Culoz,O,O,900000,1,101+344,Culoz,Ain,01,5.77867320042856,45.842855056298575
87741504,Virieu-le-Grand-Belley,N,O,890000,1,089+817,Virieu-Le-Grand,Ain,01,5.654725980428987,45.84924199087159
87741561,Brens-Virignin,O,N,904000,1,100+404,Brens,Ain,01,5.695334386379873,45.731196348519326
87743005,Bourg-en-Bresse,O,O,883000,1,037+012,Bourg-En-Bresse,Ain,01,5.214555697548378,46.20045973444396
87743112,St-Martin-du-Mont,N,O,883000,1,051+125,Saint-Martin-Du-Mont,Ain,01,5.303176213411802,46.09586466972748
87743120,Pont-d'Ain,N,O,883000,1,056+537,Pont-D'Ain,Ain,01,5.334213116969928,46.05385683262983
87743146,Ambronay-Priay,O,O,883000,1,061+274,Ambronay,Ain,01,5.338096365361949,46.011532101209326
87743302,Ceyzériat,N,O,884000,1,009+864,Ceyzériat,Ain,01,5.325714964198832,46.183333329044686
87743328,Villereversure,N,O,884000,1,018+901,Villereversure,Ain,01,5.398158290281325,46.19451666097462
87743336,Simandre-sur-Suran,N,O,884000,1,022+351,Simandre-Sur-Suran,Ain,01,5.421157705901726,46.220267861044405
87743344,Cize-Bolozon,N,O,884000,1,025+061,Bolozon,Ain,01,5.453749653654721,46.21366129732592
87743351,Nurieux,O,O,884000,1,033+466,Nurieux-Volognat,Ain,01,5.533214675860809,46.183944541283616
87743526,Bellignat,N,O,878000,1,106+818,Bellignat,Ain,01,5.630501879615334,46.238939457824436
87743534,Oyonnax,N,O,878000,1,103+912,Oyonnax,Ain,01,5.653142488148597,46.25955306243293
87743708,Leyment,O,N,890000,1,046+511,Leyment,Ain,01,5.285127971080204,45.93647117289702
87743716,Ambérieu,O,O,890000,1,051+453,Amberieu-En-Bugey,Ain,01,5.342389581729003,45.95382301988311
87743740,St-Rambert-en-Bugey,N,O,890000,1,062+777,Saint-Rambert-En-Bugey,Ain,01,5.439242836530275,45.947525236632266
87743757,Tenay-Hauteville,N,O,890000,1,069+330,Tenay,Ain,01,5.500960316594447,45.92229568025614
87743807,Vaux-en-Bugey,O,N,889000,1,003+966,Vaux-En-Bugey,Ain,01,5.342149851150576,45.92655897555944
87743815,Lagnieu,O,N,889000,1,006+210,Lagnieu,Ain,01,5.349728421132768,45.90752231744008
87745000,Bellegarde,O,O,890000,1,134+411,Bellegarde-Sur-Valserine,Ain,01,5.825676729983513,46.11051692198756
87745117,Fort-l'Écluse-Collonges,O,N,890000,1,142+544,Collonges,Ain,01,5.91015789850506,46.12791084987178
87745190,Thoiry,O,N,891000,1,158+072,Thoiry,Ain,01,5.979943793446231,46.23095157795035
87745240,Chevry,O,N,891000,1,165+724,Chevry,Ain,01,6.039598080514081,46.280210190718094
87745380,Pougny-Chancy,N,O,890000,1,147+814,Pougny,Ain,01,5.961218073642614,46.14477712415199
87745828,Seyssel-Corbonod,N,O,890000,1,116+197,Corbonod,Ain,01,5.831263014864032,45.96313171321338
87745836,Anglefort,O,N,890000,1,110+400,Anglefort,Ain,01,5.823704461958655,45.91490568489425
87115378,Artonges,O,N,4000,1,018+070,Artonges,Aisne,02,3.542344028502329,48.92659927853086
87116566,Nogent-l'Artaud-Charly,O,O,70000,1,083+778,Nogent-L'Artaud,Aisne,02,3.322361564902094,48.96865518202849
87116574,Chézy-sur-Marne,N,O,70000,1,088+065,Chézy-Sur-Marne,Aisne,02,3.364692973125201,48.99193535604067
87116582,Château-Thierry,O,O,70000,1,094+488,Étampes-Sur-Marne,Aisne,02,3.409738322821553,49.03782614971172
87116590,Mézy,O,N,70000,1,103+169,Mézy-Moulins,Aisne,02,3.506036736540149,49.06682665545266
87116673,La Ferté-Milon,N,O,72000,1,079+842,La Ferté-Milon,Aisne,02,3.120822729407744,49.17960194716914
87116681,Neuilly-St-Front,O,O,72000,1,091+647,Vichel-Nanteuil,Aisne,02,3.270686744679686,49.187223732361474
87116699,Oulchy-Breny,O,O,72000,1,098+014,Breny,Aisne,02,3.352527882683758,49.1875213601501
87171348,Bazoches,N,O,205000,1,023+200,Bazoches-Sur-Vesles,Aisne,02,3.616467770361404,49.305274498556166
87171355,Mont-Notre-Dame,O,O,72000,1,121+232,Mont-Notre-Dame,Aisne,02,3.576725498089148,49.296823850725474
87171371,Fère-en-Tardenois,O,O,72000,1,109+680,Fère-En-Tardenois,Aisne,02,3.503965030086555,49.20871896363849
87171496,Braine,O,N,205000,1,016+788,Braine,Aisne,02,3.539797001630332,49.33305628647187
87171702,Aguilcourt-Variscourt,N,O,82000,1,018+177,Aguilcourt,Aisne,02,3.973514617883735,49.40685314473819
87171736,Guignicourt,O,O,82000,1,021+272,Guignicourt,Aisne,02,3.961335731591036,49.43440304172821
87171744,Amifontaine,O,O,82000,1,027+947,Amifontaine,Aisne,02,3.910682169327863,49.484696626763025
87171751,St-Erme,O,O,82000,1,034+102,Saint-Erme-Outre-Et-Ramecourt,Aisne,02,3.8576210423604,49.52675556235464
87171769,Coucy-lès-Eppes,N,O,82000,1,041+022,Coucy-Lès-Eppes,Aisne,02,3.774746449146322,49.555959620211574
87271601,Vaumoise,O,O,229000,1,068+191,Coyolles,Aisne,02,2.988488393716951,49.23368839146981
87271734,Villers-Cotterêts,O,O,233000,1,099+340,Villers-Cotterêts,Aisne,02,3.09930750077685,49.23834221613569
87271775,Longpont,N,O,229000,1,089+587,Longpont,Aisne,02,3.230148701570269,49.272645674359715
87271783,Vierzy,O,O,229000,1,093+654,Vierzy,Aisne,02,3.277623645641786,49.29089353629163
87271817,Soissons,O,O,229000,1,104+329,Soissons,Aisne,02,3.338363138513456,49.36900007909761
87271858,Venizel,O,N,205000,1,004+447,Venizel,Aisne,02,3.396663247810074,49.36749861277327
87271866,Ciry-Sermoise,O,N,205000,1,010+036,Ciry-Salsogne,Aisne,02,3.467287945684391,49.37032876685594
87271874,Crouy,O,O,229000,1,108+844,Crouy,Aisne,02,3.356971247776012,49.40374049325243
87271882,Margival,N,O,229000,1,114+331,Margival,Aisne,02,3.403042008235571,49.43922313249368
87272286,Corcy,N,O,229000,1,087+270,Corcy,Aisne,02,3.216285373262403,49.255392671419884
87276899,Vic-sur-Aisne,O,N,317000,1,085+030,Ressons-Le-Long,Aisne,02,3.115802987804937,49.39661863388725
87295063,Hirson,N,O,267000,2,122+597,Hirson,Aisne,02,4.084428325266086,49.91429746247123
87296004,St-Quentin,O,O,242000,1,153+037,Saint-Quentin,Aisne,02,3.297098870120037,49.839760709390845
